Brightness,Saturation,Size,numLikes
134.28,0.64,2.59,476
106.28,0.61,1.17,558
105.48,0.33,2.59,2693
106.92,0.62,2.07,217
54.63,0.28,1.38,583
135.36,0.17,2.59,766
103.49,0.35,2.59,278
118.93,0.04,2.07,827
117.9,0.25,1,185
97.16,0.15,2.07,814
102.23,0.38,2.59,9071
96.62,0.15,1.17,404
106.86,0.07,1.17,363
123.59,0.05,1.17,687
130.29,0.28,2.07,857
136.02,0.02,2.07,485
116.28,0.09,2.59,457
163.58,0.21,1.17,488
121.54,0.11,2.07,801
165.59,0.17,2.07,570
159.62,0.22,2.07,416
98.75,0.38,2.07,562
154.08,0.49,1.46,380
109.61,0.23,2.28,229
108.09,0.17,2.59,326
85.73,0.11,2.59,381
112.44,0.26,2.59,1403
127.95,0.06,2.07,496
115.38,0.56,1.46,176
155.15,0.14,2.59,394
107.13,0.28,1.46,219
95.6,0.25,1.46,232
152.29,0.59,1.46,6061
174.35,0.19,0.64,283
161.47,0.06,1.46,160
85.43,0.26,1.46,918
139.87,0.2,1.56,2516
103.51,0.37,1.17,2021
92.22,0.21,2.07,221
118.62,0.12,1.66,914
166.14,0.6,1.46,482
133.1,0.83,1.46,482
162.68,0.42,1.46,482
132.5,0.35,1.46,482
126.07,0.34,0.51,482
181.8,0.02,1.46,1046
136.97,0.12,1.17,598
121.52,0.37,1.17,598
119.46,0.02,1.17,598
114.64,0.26,1.17,598
88.08,22,1.17,598
109.33,0.12,1.17,598
93.3,0.08,1.17,598
106.74,0.45,1.17,598
108.83,0.25,1.17,598
128.53,0.18,1.17,598
183.01,0.11,1.21,1306
128.69,0.14,1.46,2067
134.43,0.1,1.46,2067
120.65,0.13,1.46,2067
131.13,0.08,1.46,2067
144.74,0.09,1.46,2067
126.29,0.11,1.45,2067
108.47,0.36,1.46,2067
139.75,0.05,1.46,2067
132.23,0.27,1.46,2067
117.33,0.39,1.46,2067
129.17,0.1,1.46,2067
136.33,0.05,1.46,2067
124.78,0.21,1.46,2067
160.23,0.05,1.46,393
75.67,0.38,1.46,433
115.08,0.68,1.46,380
184.5,0.28,1.46,380
94.44,0.47,1.46,380
126.26,0.05,1.46,326
121.7,0.05,1.45,326
94.87,0.3,1.46,1403
118.68,0.07,1.45,1403
120.62,0.13,1.46,1403
114.31,0.19,1.46,1403
128.65,0.19,1.42,1403
110.49,0.03,1.46,1403
108.27,0.03,1.46,1403
118.26,0.14,1.45,1403
87.31,0.19,1.17,496
120.58,0.18,1.17,496
118.74,0.12,1.17,496
109.21,0.24,1.46,176
102.84,0.73,1.46,176
84.01,0.39,1.46,176
118.34,0.34,1.46,176
128.47,0.18,1.46,176
129.24,0.17,1.46,176
111.67,0.35,1.46,219
109.16,0.29,1.46,219
103.22,0.33,1.46,219
149.36,0.86,1.46,6061
138.6,0.8,1.46,6061
135.04,0.88,1.46,6061
